ndvi,temperature,rainfall,humidity,yield_tph
0.292,22.43,199.9,75.91,2.49
0.679,31.12,191.55,78.81,3.32
0.491,31.36,76.14,89.98,2.18
0.648,29.71,105.88,75.55,3.08
0.788,23.57,98.93,69.09,3.46
0.546,33.89,189.55,84.48,2.67
0.526,32.26,54.77,72.59,2.37
0.29,33.95,171.17,47.78,1.96
0.398,20.0,105.14,47.23,1.91
0.525,33.39,159.9,49.7,2.74
0.624,33.31,58.38,48.19,2.74
0.692,30.79,58.86,63.5,2.16
0.46,20.27,131.55,55.52,2.14
0.286,29.71,70.26,85.94,1.55
0.408,24.93,119.86,87.86,1.61
0.75,32.77,172.29,82.78,3.66
0.367,24.14,149.4,65.89,1.98
0.499,35.35,105.34,88.65,2.27
0.762,23.81,169.22,57.01,3.35
0.264,23.9,122.67,57.17,1.64
0.58,25.84,191.6,63.67,3.2
0.773,27.04,116.49,76.32,3.62
0.377,20.26,136.72,66.17,1.87
0.552,27.08,198.88,78.85,3.06
0.75,33.17,193.5,65.22,4.04
0.323,29.32,185.74,60.37,2.45
0.538,27.39,107.29,58.63,2.5
0.663,22.11,137.74,87.84,3.15
0.618,31.96,187.62,53.2,3.36
0.507,28.36,141.68,46.28,2.51
0.363,25.86,115.54,57.28,2.11
0.52,28.71,77.64,64.5,2.09
0.455,29.86,178.38,70.12,2.49
0.513,34.03,112.44,53.52,2.18
0.451,23.97,117.65,72.23,2.17
0.711,21.11,67.51,45.12,2.71
0.673,26.53,119.46,64.09,3.02
0.423,20.11,193.11,51.85,2.8
0.565,22.72,149.11,70.71,3.07
0.402,31.27,151.31,50.04,2.26
0.499,33.37,88.42,46.09,2.7
0.444,23.67,113.6,58.01,1.68
0.612,25.13,55.72,47.4,2.03
0.454,31.47,93.56,79.49,2.38
0.503,33.51,73.32,68.07,2.07
0.646,30.58,194.65,81.93,3.34
0.477,29.68,189.91,89.77,2.59
0.749,21.21,162.29,88.21,3.7
0.349,33.97,183.34,85.26,2.78
0.658,20.44,125.98,65.55,2.7
0.482,33.88,119.8,45.03,2.38
0.485,21.6,198.7,61.08,3.34
0.599,23.66,79.88,58.77,2.46
0.538,21.2,75.41,58.33,2.18
0.478,25.35,181.55,85.75,2.45
0.251,31.24,70.52,53.92,1.23
0.301,21.41,149.53,86.84,1.92
0.64,21.36,86.33,84.62,2.63
0.538,23.68,191.17,64.53,2.68
0.633,25.05,82.9,53.87,2.71
0.776,23.9,85.3,80.91,3.01
0.626,32.94,146.13,73.13,3.09
0.279,32.55,101.99,55.31,1.31
0.42,28.98,80.48,79.25,2.13
0.576,22.67,56.13,61.63,2.23
0.379,23.56,178.07,56.0,2.81
0.781,28.59,139.92,78.62,3.42
0.77,29.23,65.04,84.92,3.41
0.717,32.71,68.18,82.75,2.95
0.51,24.5,56.1,68.1,1.92
0.713,27.09,99.12,69.08,2.51
0.322,24.1,112.69,47.61,1.57
0.42,34.44,174.15,58.94,2.81
0.505,20.44,141.25,57.33,2.68
0.658,33.8,189.36,68.56,3.01
0.517,26.47,120.76,78.57,2.37
0.325,30.7,68.21,74.14,1.5
0.439,35.95,61.96,75.72,1.87
0.428,23.49,77.43,54.87,2.08
0.415,25.86,125.31,52.39,2.49
0.341,31.21,80.7,78.43,1.31
0.478,22.86,188.59,75.11,2.22
0.496,29.76,83.0,63.3,2.19
0.676,25.16,73.68,57.9,2.62
0.688,33.67,136.88,62.3,3.05
0.537,27.59,151.26,64.05,2.59
0.503,24.96,192.94,45.32,3.05
0.678,22.81,50.08,57.97,2.66
0.738,31.29,143.09,68.17,3.41
0.621,21.32,129.1,62.22,2.88
0.69,26.2,124.11,63.29,2.94
0.767,24.19,153.52,72.2,3.43
0.272,22.28,97.24,83.33,1.2
0.732,21.99,69.34,85.54,2.92
0.402,21.92,119.82,79.05,2.22
0.512,29.87,192.08,63.72,2.79
0.688,29.41,119.84,61.22,2.92
0.644,29.34,93.86,62.92,3.12
0.331,33.26,98.38,45.49,1.79
0.612,23.42,134.32,46.3,2.58
0.288,31.25,152.88,72.57,1.64
0.446,35.03,191.35,80.45,2.54
0.697,25.0,116.69,86.23,2.94
0.485,26.87,53.14,56.51,1.63
0.58,35.83,115.92,82.57,2.68
0.65,30.06,133.96,87.02,3.21
0.702,24.01,68.68,86.16,3.15
0.668,26.93,178.93,65.46,3.16
0.254,28.78,127.51,62.95,1.79
0.481,32.15,80.23,75.79,1.93
0.505,34.45,69.83,77.43,2.2
0.281,27.42,177.75,84.47,1.44
0.548,21.7,186.4,52.28,2.86
0.584,35.79,151.01,79.23,2.96
0.706,32.89,71.94,84.78,3.24
0.768,22.29,54.02,62.18,2.93
0.32,24.95,115.84,64.02,1.94
0.377,24.2,82.88,76.0,1.83
0.613,24.79,126.39,64.98,2.82
0.323,23.37,144.99,79.02,1.84
0.373,33.4,64.27,85.44,1.38
0.566,26.42,161.61,53.1,2.84
0.343,34.2,87.24,61.83,1.45
0.68,30.61,195.2,56.49,3.42
0.721,20.96,151.91,70.69,3.76
0.269,33.44,118.91,52.13,1.52
0.543,22.2,122.59,73.46,2.74
0.688,23.54,181.84,74.89,3.38
0.786,35.57,142.35,72.97,4.16
0.401,21.04,120.03,50.4,2.18
0.343,35.11,186.29,69.07,1.96
0.732,27.33,129.45,54.89,3.34
0.75,33.83,77.8,71.02,3.1
0.359,27.74,150.4,64.88,1.98
0.493,34.81,111.75,59.82,2.1
0.646,24.28,130.17,72.79,3.16
0.715,31.67,71.69,63.71,3.37
0.343,24.39,121.43,67.49,2.03
0.616,32.37,187.64,47.11,2.95
0.694,24.72,128.31,68.69,3.51
0.552,30.48,147.39,82.16,2.52
0.341,29.04,136.47,70.51,1.92
0.27,26.57,172.08,70.51,2.1
0.405,34.56,121.66,85.54,2.02
0.694,20.14,110.41,75.27,3.06
0.275,35.68,152.15,64.12,1.44
0.255,31.93,85.38,83.08,1.64
0.449,20.51,125.68,86.58,2.33
0.285,35.48,170.43,62.91,1.7
0.332,24.23,95.22,51.63,1.45
0.263,22.4,181.7,45.51,2.23
0.539,29.2,141.75,75.87,2.18
0.633,28.9,146.67,62.28,3.42
0.485,29.3,159.92,50.2,2.8
0.324,27.73,64.75,57.73,1.15
0.432,22.94,50.01,84.63,1.67
0.575,33.28,70.68,66.86,2.15
0.767,24.62,105.6,72.32,3.52
0.796,26.83,162.0,59.43,3.24
0.383,31.84,103.05,74.87,1.89
0.256,32.35,173.17,48.2,1.64
0.707,25.73,198.02,49.18,3.18
0.76,21.1,111.47,45.48,3.16
0.502,26.7,178.4,56.84,2.18
0.674,30.52,173.6,85.74,3.52
0.726,31.49,187.57,66.72,3.81
0.585,24.7,181.76,74.63,2.79
0.73,31.33,131.03,77.79,3.02
0.263,28.2,182.88,56.88,1.81
0.399,22.64,97.87,74.49,1.83
0.402,23.62,151.99,71.02,2.18
0.316,22.03,55.58,86.54,1.0
0.751,20.34,54.09,82.28,2.94
0.267,27.63,131.41,82.27,1.5
0.62,27.22,178.75,54.03,2.67
0.289,29.32,160.76,56.05,1.53
0.448,32.04,82.03,86.64,1.76
0.48,30.55,97.25,59.87,2.01
0.35,31.95,93.24,88.42,1.8
0.537,32.25,123.08,66.0,2.32
0.544,35.89,132.0,46.32,2.66
0.424,27.72,51.18,54.96,1.64
0.655,26.57,131.02,46.4,3.08
0.338,27.86,165.43,81.22,2.42
0.356,33.56,161.2,68.26,2.34
0.445,21.23,102.36,59.93,2.13
0.458,32.61,185.2,85.12,2.26
0.363,31.93,110.12,86.31,1.66
0.755,31.88,73.24,51.44,3.11
0.705,25.39,138.17,79.95,3.44
0.309,33.18,60.48,64.34,1.58
0.453,26.35,163.74,75.38,2.39
0.378,32.21,153.99,53.51,2.32
0.498,25.89,54.18,71.08,2.09
0.402,30.6,107.06,58.28,1.91
0.526,27.93,80.48,65.06,2.21
0.757,20.94,117.93,61.8,3.28
0.46,20.28,156.05,68.83,2.43
0.608,29.65,135.56,82.39,2.9
0.578,28.96,115.22,66.0,2.6
0.664,29.31,138.68,84.61,3.26
0.284,33.73,119.63,66.31,1.48
0.66,28.5,86.39,59.91,2.73
0.77,29.06,175.41,46.07,3.69
0.582,27.3,138.97,61.52,3.08
0.408,25.92,149.28,47.29,2.71
0.62,35.04,159.41,72.8,2.96
0.642,34.83,169.38,78.5,2.77
0.611,20.51,151.87,68.49,3.28
0.331,33.89,166.22,67.79,2.22
0.785,28.15,145.91,77.85,3.5
0.775,29.09,119.37,84.03,3.5
0.484,24.94,77.17,79.98,1.91
0.577,29.21,133.9,55.71,2.39
0.272,26.4,131.15,89.54,1.58
0.794,24.92,91.49,68.33,3.66
0.7,20.04,73.04,70.52,3.2
0.6,21.15,162.92,80.92,2.94
0.669,28.14,92.71,66.1,2.95
0.353,25.05,116.34,46.09,1.94
0.419,22.32,158.24,78.86,2.48
0.386,28.4,135.13,63.87,1.6
0.578,29.96,123.21,61.04,3.03
0.301,21.41,147.99,75.94,1.54
0.743,26.61,134.19,85.43,3.14
0.504,24.76,62.48,82.57,2.07
0.495,34.55,129.56,50.01,2.49
0.308,21.11,85.58,81.8,1.69
0.627,20.97,130.43,78.23,3.22
0.699,29.97,155.98,79.22,2.89
0.596,23.48,199.6,67.09,3.67
0.383,31.67,167.14,89.69,2.46
0.682,29.43,193.56,63.62,3.66
0.33,33.65,130.37,74.28,2.06
0.705,30.2,88.48,49.95,2.46
0.569,31.27,178.86,75.85,2.72
0.409,24.17,73.72,85.47,2.16
0.532,29.57,184.85,88.98,3.06
0.596,29.65,57.4,57.9,2.59
0.392,25.77,70.88,69.4,1.69
0.716,23.08,137.16,61.72,3.22
0.482,25.02,108.07,46.16,2.27
0.741,34.65,90.19,80.28,3.15
0.71,24.84,70.85,45.68,2.84
0.305,33.41,114.11,60.94,1.81
0.605,21.09,66.19,72.19,2.13
0.421,32.16,138.87,54.57,1.99
0.665,29.13,129.26,86.5,2.48
0.548,28.18,128.81,63.34,2.09
0.502,23.98,55.02,65.81,1.99
0.742,25.84,159.07,46.41,3.32
0.281,21.07,154.85,88.63,1.6
0.557,24.74,53.41,48.89,2.53
0.43,35.49,125.36,87.22,1.87
