ndvi,temperature,rainfall,humidity,yield_tph
0.506,35.56,129.69,43.11,2.61
0.823,29.91,123.24,66.36,3.55
0.703,25.13,102.12,75.95,3.3
0.629,33.79,119.19,74.4,2.93
0.386,28.7,103.81,77.68,1.93
0.386,31.51,138.95,84.08,2.06
0.332,23.72,160.2,84.81,2.33
0.776,32.11,154.43,58.47,3.86
0.631,27.98,100.88,62.59,2.97
0.689,27.35,121.13,62.42,3.37
0.311,37.68,61.28,68.89,1.44
0.833,28.92,164.43,51.06,3.94
0.758,32.85,89.45,74.77,3.45
0.417,32.04,112.93,45.7,1.97
0.4,23.67,78.31,82.8,2.07
0.401,33.97,141.37,45.61,2.39
0.467,27.17,125.44,73.42,2.24
0.589,34.78,103.77,57.87,2.64
0.538,31.72,124.22,68.52,2.67
0.46,27.07,80.25,54.14,2.55
0.637,27.7,153.08,45.39,3.3
0.377,33.7,91.92,82.21,2.06
0.461,30.8,133.8,62.95,2.04
0.501,32.69,167.93,53.52,2.66
0.551,24.53,64.63,68.1,2.57
0.732,34.59,106.5,51.61,3.72
0.41,27.13,76.19,41.82,2.29
0.583,31.92,169.04,75.71,3.25
0.626,23.83,103.21,84.81,3.33
0.326,27.14,85.6,83.04,2.12
0.634,32.38,141.18,79.59,3.22
0.394,26.39,125.18,73.63,2.35
0.336,36.08,158.03,47.29,1.87
0.822,32.58,150.37,47.01,4.35
0.831,35.92,176.96,46.74,4.39
0.745,28.33,70.86,60.68,3.48
0.468,22.54,69.63,61.42,2.22
0.354,31.22,168.88,65.99,2.47
0.676,27.43,174.69,50.2,3.78
0.542,29.17,108.8,41.79,2.53
0.367,32.9,114.7,44.53,2.08
0.572,33.21,104.24,43.12,2.89
0.319,22.44,153.32,75.68,1.98
0.8,34.31,152.49,46.06,4.21
0.442,29.9,86.45,73.77,2.59
0.664,30.91,106.07,44.82,3.43
0.471,26.77,85.49,62.31,2.13
0.586,28.73,65.59,52.95,2.68
0.601,33.37,66.73,69.31,2.63
0.402,34.43,77.62,46.57,1.92
0.833,28.19,63.59,66.49,3.56
0.726,33.06,110.78,65.72,3.68
0.817,26.13,67.68,58.13,3.42
0.792,35.31,161.69,61.71,3.83
0.629,31.76,145.45,46.61,3.28
0.807,34.4,154.04,76.47,4.38
0.349,29.63,134.1,67.21,2.36
0.408,25.67,139.67,45.38,2.44
0.325,28.87,73.61,81.29,1.5
0.479,28.1,66.98,68.02,2.34
0.514,27.32,178.71,47.76,3.16
0.449,25.39,104.75,50.09,2.59
0.756,34.15,66.15,49.19,3.63
0.496,23.38,79.16,50.14,2.67
0.455,36.2,164.9,49.44,2.82
0.598,24.8,84.7,73.57,2.92
0.378,37.68,116.05,66.61,2.23
0.741,37.82,140.1,50.5,3.97
0.341,28.37,175.9,81.94,2.38
0.843,37.81,61.69,40.52,3.53
0.725,35.91,118.51,70.85,3.65
0.409,23.32,179.52,64.45,2.31
0.303,37.16,74.61,63.91,1.59
0.749,22.68,74.85,64.81,3.15
0.689,24.91,70.45,61.9,3.34
0.701,31.35,120.94,82.59,3.5
0.724,23.29,101.81,67.84,3.59
0.341,24.59,145.95,60.67,2.22
0.497,37.26,128.56,78.7,2.56
0.364,37.92,129.7,80.03,2.22
0.775,34.77,121.33,74.85,3.74
0.643,30.24,179.05,65.82,3.51
0.482,36.4,124.69,41.92,2.64
0.335,23.79,68.68,80.95,1.66
0.471,37.09,98.66,76.79,2.32
0.479,27.62,153.68,82.01,2.58
0.701,35.78,135.41,46.05,3.57
0.651,32.69,142.07,83.25,3.21
0.788,37.36,170.62,83.46,4.11
0.56,35.83,113.25,60.4,2.95
0.366,36.21,62.34,43.35,2.2
0.692,32.11,178.81,67.98,3.81
0.718,35.33,114.55,68.18,3.14
0.609,34.11,71.71,63.88,2.9
0.724,24.59,125.83,54.77,3.76
0.572,32.38,130.82,43.23,2.86
0.588,24.37,127.72,65.31,3.17
0.535,35.91,175.79,54.14,3.12
0.314,23.06,98.36,44.48,2.02
0.359,37.79,64.14,48.56,1.88
0.317,28.41,170.37,75.57,2.13
0.65,24.73,82.95,76.29,3.05
0.473,36.97,149.93,74.54,2.68
0.58,22.73,84.48,43.41,2.74
0.799,29.52,159.48,44.98,3.77
0.437,34.32,168.77,50.5,2.68
0.526,27.07,72.64,84.07,2.69
0.716,30.46,77.67,52.37,3.42
0.426,33.21,171.03,82.06,2.55
0.342,37.23,152.48,69.66,2.08
0.459,23.64,64.67,41.23,2.03
0.389,24.52,81.86,61.93,1.77
0.811,30.14,109.45,77.62,3.92
0.744,28.7,163.7,42.86,3.85
0.648,28.57,78.13,67.45,2.92
0.779,26.75,146.9,54.42,3.95
0.742,30.97,70.05,49.01,3.45
0.403,36.13,116.06,63.78,2.56
0.791,24.57,147.48,75.82,3.61
0.597,25.44,67.77,75.04,2.54
0.744,32.73,84.51,47.84,3.96
0.793,22.9,155.02,55.67,3.93
0.475,32.78,79.62,55.67,2.35
0.361,27.03,140.1,77.1,2.23
0.425,27.73,137.06,62.33,2.24
0.535,28.49,122.45,56.89,2.62
0.75,27.59,84.21,76.23,3.27
0.773,35.46,110.03,80.09,3.32
0.304,37.14,134.61,54.57,2.1
0.581,30.77,165.81,84.34,3.49
0.53,31.31,155.74,64.11,2.76
0.422,23.13,132.88,42.79,2.65
0.366,33.41,87.42,56.46,2.0
0.486,31.35,86.0,64.49,2.69
0.819,22.81,157.67,77.19,4.15
0.478,25.17,139.73,71.91,2.81
0.585,25.23,102.97,48.98,2.96
0.687,24.74,176.58,59.07,3.51
0.5,32.54,166.77,44.42,2.9
0.834,36.86,140.58,79.48,4.14
0.829,34.21,104.31,40.17,4.14
0.438,29.64,97.05,51.73,2.34
0.573,28.46,172.73,74.3,2.96
0.465,28.18,113.22,40.99,2.35
0.457,31.62,156.0,72.45,2.79
0.32,27.75,172.77,69.45,2.06
0.635,25.62,119.04,60.05,3.11
0.576,31.65,138.37,46.36,3.02
0.328,28.25,70.35,53.93,1.32
0.453,22.23,138.31,48.96,2.57
0.8,22.36,85.81,40.27,3.91
